,Date,Bitcoin_Close,Bitcoin_Return,Bitcoin_Vol,BNB_Close,BNB_Return,BNB_Vol,Doge_Close,Doge_Return,Doge_Vol,Ethereum_Close,Ethereum_Return,Ethereum_Vol
0,01/01/2020,7144.6,-0.010717252838548852,0.010604547553534122,13.5426,-0.019561566083632465,0.02880504468946795,0.002037,0.01041666666666674,0.022134254598561783,129.67,-0.004682222904513478,0.02626927660056232
1,01/01/2021,29400.6,0.005533742834863187,0.032472175706730916,37.4007,-0.014297687069092624,0.03629242907705828,0.007195,0.46716965742251215,0.17301929821182288,729.49,-0.018103749966350002,0.037759413941107135
2,01/01/2022,47043.6,0.006017680947431936,0.02219353666210146,520.29,0.007923285548236958,0.017792600358341765,0.171514,0.0046155828637701735,0.025746878649641182,3734.09,0.004268171329292025,0.024103492851704152
3,01/01/2023,16638.3,0.007142727432310592,0.006433617824208597,243.4,-0.003276003276003192,0.003853822231740921,0.069918,0.00881584832700888,0.02164516380519426,1201.33,0.007776454205325134,0.009090315226462203
4,01/02/2020,7192.0,0.006634381210984364,0.010980075618986371,13.3969,-0.010758643096598908,0.02936024337680925,0.002007,-0.014727540500736436,0.022024467322947584,129.24,-0.003316110125703542,0.026462395303047177
5,01/02/2021,32861.6,0.11771868601321067,0.04555422579367597,37.9076,0.013553222265893394,0.03630917799892797,0.010824,0.5043780403057678,0.23236802620035762,774.3,0.06142647603119977,0.04056870391584252
6,01/02/2022,46819.5,-0.0047636660459657865,0.017527077804488908,523.62,0.006400276768725233,0.01632813788534547,0.171221,-0.0017083153561807674,0.022677635315658768,3792.07,0.015527210110093836,0.024735389390886018
7,01/02/2023,16685.2,0.0028187975935043408,0.006640503616026743,245.4,0.008216926869350827,0.004789818347157148,0.071503,0.02266941274063905,0.025170344427903654,1213.76,0.010346865557340656,0.010163709831572436
8,01/03/2020,7340.5,0.020647942157953292,0.013411899195771494,13.6797,0.021109361120856374,0.03017351871938415,0.002292,0.14200298953662194,0.060157390420801836,133.96,0.03652120086660471,0.02869455180302296
9,01/03/2021,33328.7,0.014214158774983554,0.04516138567053489,41.4792,0.09421857358418873,0.04678444956058603,0.010801,-0.0021249076127125566,0.23222050239027417,1020.94,0.31853286839726214,0.11749208762230084
10,01/03/2022,46069.1,-0.016027509905060966,0.014203640009876246,507.5,-0.03078568427485584,0.018526173068820154,0.169355,-0.010898195898867535,0.014883869534323219,3732.99,-0.015579881173079735,0.0219382071776279
11,01/03/2023,16875.0,0.011375350610121515,0.005996360681554369,256.0,0.04319478402607979,0.01674440905446185,0.072451,0.013258184971260079,0.019347294265354822,1252.01,0.03151364355391517,0.012228896692392778
12,01/04/2020,7473.4,0.01810503371704919,0.014361855962484757,14.0159,0.02457656235151351,0.029793672348996124,0.002309,0.00741710296684106,0.059919635176645746,136.42,0.0183636906539264,0.028302256515993773
13,01/04/2021,31381.1,-0.05843612262104425,0.05382826953170774,39.7833,-0.040885552276803794,0.042471586603215664,0.009173,-0.1507267845569854,0.2513109569435202,1024.04,0.0030364174192409887,0.11677512840763875
14,01/04/2022,46439.5,0.008040096290138132,0.013194014677407316,512.12,0.00910344827586207,0.019497426106636583,0.169863,0.0029996161908416585,0.013939603065721614,3812.97,0.02142518463751575,0.021860420512616104
15,01/04/2023,16836.8,-0.0022637037037037677,0.00544862889999476,258.7,0.010546874999999956,0.01668292369589933,0.07385,0.019309602351934352,0.018799082621148006,1253.88,0.0014935982939434655,0.011860880964005954
16,01/05/2020,7547.3,0.00988840420692072,0.014615773607801688,14.4161,0.028553285911001147,0.024255702622411956,0.002096,-0.09224772628843636,0.07123600393845088,139.82,0.024923031813517182,0.022206826096618584
17,01/05/2021,35228.7,0.12260883143038326,0.06477290043067398,41.0045,0.03069629719002709,0.042383950189878374,0.010318,0.12482284966750257,0.24614423912366348,1115.89,0.0896937619624234,0.11685989365175742
18,01/05/2022,42947.9,-0.07518599468125187,0.02984270333975994,465.31,-0.0914043583535109,0.03669315033563833,0.155593,-0.08400887774265131,0.032274404875235106,3443.32,-0.09694542574423604,0.04172870892099077
19,01/05/2023,16818.3,-0.0010987836168393494,0.005598118883723289,257.1,-0.006184770003865303,0.01733178131927521,0.071038,-0.03807718348002698,0.025357379694274564,1250.05,-0.0030545187737264223,0.012333169380139803
20,01/06/2020,7834.6,0.03806659335126472,0.016443427623609168,14.753,0.02336970470515598,0.019726492283663875,0.002201,0.050095419847328015,0.07112907777590943,142.42,0.018595336861679357,0.017491697338742937
21,01/06/2021,37490.0,0.06418914123995512,0.06566550840006102,42.3498,0.032808594178687756,0.042269719545417056,0.01025,-0.006590424500872327,0.24905981965531188,1211.33,0.08552814345499993,0.11474684844153907
22,01/06/2022,41628.5,-0.030720943282442237,0.028593440880301284,447.61,-0.03803915669123803,0.03726803818180031,0.152592,-0.01928750008033786,0.0310436803011891,3205.8,-0.06897993796684598,0.044800942593531366
23,01/06/2023,16942.6,0.007390758875748471,0.00532316066454481,261.6,0.0175029171528589,0.01735313722263742,0.072294,0.017680677947014223,0.02102119154661684,1264.31,0.011407543698252143,0.011881846707462382
24,01/07/2020,8332.0,0.06348760625941341,0.023946747486496785,15.0675,0.021317698095302706,0.019331788798136938,0.002178,-0.01044979554747838,0.07124038256721706,145.02,0.018255862940598444,0.01481792528048164
25,01/07/2021,38713.3,0.03263003467591363,0.06454671855309417,41.7743,-0.0135892023102826,0.04404391259692092,0.009484,-0.07473170731707324,0.26152730328977386,1170.08,-0.03405347840803086,0.1193787598101936
