,Unnamed: 0,Date,Bitcoin_Close,Bitcoin_Return,Bitcoin_Vol,BNB_Close,BNB_Return,BNB_Vol,Doge_Close,Doge_Return,Doge_Vol,Ethereum_Close,Ethereum_Return,Ethereum_Vol,weight,weighted conviction,normalized weighted conviction,conviction avg,conviction std,weighted conviction avg,weighted conviction std
392,264,2019-03-08,3865.9,,,14.2897,,,0.001949,,,133.85,,,,,,,,,
401,270,2019-03-09,3944.4,0.0203057502780723,,14.4651,0.0122745753934652,,0.001978,0.0148794253463315,,137.52,0.0274187523347031,,,,,,,,
410,276,2019-03-10,3915.2,-0.0074029003143698,,14.27,-0.0134876357577894,,0.001961,-0.0085945399393326,,135.72,-0.0130890052356021,,,,,,,,
418,282,2019-03-11,3865.1,-0.0127962811606048,,14.3498,0.0055921513665031,,0.00194,-0.0107088220295766,,133.42,-0.0169466548776894,,,,,,,,
426,288,2019-03-12,3886.0,0.0054073633282449,,15.34,0.0690044460549972,,0.001995,0.0283505154639174,,133.8,0.0028481487033429,,,,,,,,
434,294,2019-03-13,3864.9,-0.0054297478126608,,15.0644,-0.0179661016949153,,0.002026,0.0155388471177946,,132.06,-0.0130044843049328,,,,,,,,
444,300,2019-03-14,3879.8,0.0038552097078838,,15.03,-0.0022835293805262,,0.002014,-0.0059230009871668,,132.61,0.0041647735877632,,,,,,,,
455,306,2019-03-15,3926.7,0.0120882519717511,0.0116467702003196,15.0417,0.0007784431137725,0.0289794419777657,0.002041,0.0134061569016881,0.0150281703852879,137.01,0.0331800015081817,0.0200812271305272,,,,,,,
466,312,2019-03-16,4001.9,0.0191509409937098,0.0113535333776502,15.7704,0.0484453220048266,0.0328914172560499,0.002049,0.0039196472317493,0.0145996312003784,140.33,0.0242318078972338,0.0194758373053583,,,,,,,
475,317,2019-03-17,3979.6,-0.0055723531322622,0.0111161077779641,15.62,-0.0095368538527875,0.0323939091341396,0.002038,-0.0053684724255734,0.0141373670957741,139.26,-0.0076248842015251,0.0188193865781719,,,,,,,
483,322,2019-03-18,3974.4,-0.0013066639863302,0.0091803950381413,15.3787,-0.0154481434058898,0.0341701841993305,0.002069,0.0152109911678117,0.0124465360662742,137.63,-0.011704724974867,0.0179382774248952,,,,,,,
824,552,2019-05-03,5837.0,0.4686493558776168,0.1759360741649475,23.5309,0.5300968222281466,0.2013529657067256,0.002767,0.3373610439826002,0.1255298698593765,168.98,0.2277846399767491,0.0861374608856679,,,,,,,
832,558,2019-05-04,5819.9,-0.0029295871166695,0.1757593871101971,22.9491,-0.0247249361477885,0.2018958013003196,0.002667,-0.0361402240693892,0.1295852609110878,164.05,-0.0291750503018107,0.0878921607644572,,,,,,,
839,564,2019-05-05,5688.1,-0.0226464372240071,0.177710375182277,22.4576,-0.0214169618852155,0.2032467291586491,0.00261,-0.0213723284589426,0.1307446824207938,161.6,-0.0149344711978056,0.0892730920126876,,,,,,,
847,570,2019-05-06,5944.2,0.0450238216627696,0.1764526817789978,22.2961,-0.0071913294385864,0.2037378337644184,0.002619,0.0034482758620688,0.1311846841192615,179.05,0.1079826732673268,0.0938426577348812,,,,,,,
855,576,2019-05-07,5880.1,-0.0107836210087143,0.1782855073833303,21.2798,-0.0455819627647883,0.2085508977733119,0.002542,-0.0294005345551736,0.1334010041352879,169.21,-0.054956716001117,0.1009006535865683,,,,,,,
