date,weight,weighted conviction,weighted sentiment,normalized weighted conviction,normalized weighted sentiment,conviction avg,conviction std,weighted conviction avg,weighted conviction std,weighted sentiment avg,weighted sentiment std
1/1/2021,3002,2566.8533480300002,2986,0.8550477508427715,0.9946702198534311,0.8214106477419355,0.18371174926866515,82.80172090419356,195.16812890332187,96.3225806451613,218.02773326601888
1/1/2023,7,5.9563931,7,0.8509133,1.0,0.8509133,0.0,5.9563931,0.0,7.0,0.0
1/10/2021,5206,3483.79512888,4685,0.6691884611755666,0.899923165578179,0.5922512673214285,0.5162859399774852,62.21062730142857,184.78816712959372,83.66071428571429,257.1838590146402
1/10/2022,1006,903.61598715,1006,0.8982266273856859,1.0,0.8671906680769231,0.05631639448190363,34.75446104423077,75.42444811707878,38.69230769230769,81.86465377964744
1/11/2021,71,26.3898449,34,0.37168795633802815,0.4788732394366197,0.584312875,0.39005511093700057,6.597461225,5.330598651845153,8.5,6.95221787153807
1/11/2022,6,5.37403932,6,0.8956732199999999,1.0,0.8956732199999999,0.02658421683986198,2.68701966,0.07975265051958574,3.0,0.0
1/11/2023,415,333.37824876,410,0.8033210813493976,0.9879518072289156,0.7410423557142858,0.25795929545690355,15.875154702857143,43.163070817196825,19.523809523809526,50.60891131769092
1/12/2021,1887,1446.63802308,1642,0.7666338225119237,0.8701642819289878,0.6612608733333333,0.31677270170814253,48.221267436,150.94569211849782,54.733333333333334,164.13701873599453
1/12/2022,9,7.881849,9,0.875761,1.0,0.8775632,0.007646087046326431,3.9409245,1.8271852772108306,4.5,2.1213203435596424
1/12/2023,29,26.30199216,29,0.9069652468965518,1.0,0.8997023233333334,0.02548637635409011,2.9224435733333336,1.8285745477312731,3.2222222222222223,1.922093765778466
1/13/2021,1764,1434.71490989,1744,0.8133304477834467,0.9886621315192744,0.7759531667999999,0.34139396580500253,28.6942981978,76.40370277915089,34.88,93.492690972643
1/13/2022,1762,1474.68753479,1565,0.8369395770658342,0.8881952326901249,0.6639446376923076,0.5070836950684129,56.71875133807692,171.26745360926265,60.19230769230769,183.28775610624277
1/14/2021,40,32.018752479999996,40,0.8004688119999999,1.0,0.7846596800000001,0.15821617144648778,3.2018752479999995,2.2757248348755286,4.0,2.5385910352879693
1/14/2022,22,8.247921920000001,10,0.37490554181818186,0.45454545454545453,0.4226697775,0.8422788812409269,2.0619804800000003,4.772406547285893,2.5,5.802298395176403
1/15/2020,399,289.95810809,396,0.7267120503508772,0.9924812030075187,0.7586549029166667,0.2621023140267064,12.081587837083333,33.11249224413288,16.5,50.63595560468865
1/15/2021,1341,1062.13277307,1311,0.7920453192170023,0.9776286353467561,0.7474166596666667,0.37596914327634046,35.404425769,95.00139706940311,43.7,112.09114210289339
1/16/2020,12,9.356110000000001,12,0.7796758333333335,1.0,0.7796758333333335,0.16297944676480927,1.559351666666667,0.32595889352961854,2.0,0.0
1/16/2021,3467,2856.8247437,3284,0.8240048294490915,0.9472166137871358,0.7329626670370369,0.2814871410785225,105.80832384074074,260.8868429532246,121.62962962962963,283.43404444395446
1/17/2020,743,524.75111231,618,0.7062599088963661,0.8317631224764468,0.655863822,0.41614266954064755,17.49170374366667,65.92600137172182,20.6,78.69916531126398
1/17/2021,1299,1144.28636404,1288,0.8808978937952272,0.99153194765204,0.7717265045454546,0.28327683526280645,34.675344364848485,79.58224218658984,39.03030303030303,85.39924064668435
1/18/2021,775,597.2102844599999,666,0.770593915432258,0.8593548387096774,0.7028037266666666,0.43959771268051756,19.907009481999996,76.99601921540253,22.2,84.30666517603127
1/18/2022,3546,2016.9763388200001,2877,0.5688032540383531,0.811336717428088,0.613750103137255,0.42602114055528106,39.54855566313726,117.76323273845689,56.411764705882355,182.40265090952906
1/18/2024,964,721.62760684,815,0.7485763556431535,0.8454356846473029,0.7252983964705882,0.30502704367546973,42.448682755294115,119.89125338883956,47.94117647058823,132.4129292158791
1/19/2021,310,280.54073117,306,0.9049701005483871,0.9870967741935484,0.7382508520000001,0.4003371842133222,9.351357705666667,35.54737817262849,10.2,37.979486296030196
1/19/2022,24,18.3825357,20,0.7659389874999999,0.8333333333333334,0.7196349666666666,0.5532418191927033,2.0425039666666667,2.1684994953604986,2.2222222222222223,2.438123139721299
1/19/2024,32,17.92874532,20,0.56027329125,0.625,0.5760783363636364,0.4569791880139589,1.6298859381818183,2.259912580397722,1.8181818181818181,2.5619594773603196
1/2/2021,3831,995.6747315099999,1493,0.2598994339624119,0.3897154789872096,0.6431750247457627,0.44909361494819,16.87584290694915,114.41163509173263,25.305084745762713,142.18592178204543
1/20/2020,1164,1004.69317199,1136,0.8631384639089347,0.9759450171821306,0.8134267688888889,0.23765863045687907,37.21085822185185,82.24618764943163,42.074074074074076,92.08354314088331
1/21/2020,9,8.25553456,9,0.9172816177777777,1.0,0.9201226466666667,0.013996387633190676,2.751844853333333,0.8788205534379819,3.0,1.0
1/21/2021,1901,1241.6549297299998,1482,0.6531588267911624,0.7795896896370331,0.6660471309999999,0.4989388540920641,41.38849765766666,141.3799418778189,49.4,175.88958135030683
1/22/2021,2122,881.9786198999999,1102,0.4156355418944392,0.5193213949104618,0.7361610965517241,0.27326989830226894,30.413055858620687,62.62304026303915,38.0,81.54227650208729
1/22/2022,2144,1695.91377513,2113,0.7910045592957089,0.9855410447761194,0.7596881361818182,0.2809355432704434,30.834795911454545,79.52122858535205,38.41818181818182,98.79396647289656
1/23/2021,4685,2935.80380588,3687,0.626639019398079,0.7869797225186766,0.6863885251612903,0.3643460904805263,94.70334857677419,293.5970239061129,118.93548387096774,379.2593602873783
